sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,68026368,122880,16384,3760,10009588,5442109.4,0.5437,0.5439
4,1,1,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
4,2,6,switch,50.000,34013184,61440,8192,1032,10006528,5442109.4,0.5437,0.5439
4,3,7,switch,50.000,34013184,61440,8192,1364,10006860,5442109.4,0.5437,0.5439
5,0,2,host,100.000,68026368,122880,16384,3760,10009588,5442109.4,0.5437,0.5439
5,1,3,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
5,2,6,switch,50.000,34013184,61440,8192,1032,10006528,5442109.4,0.5437,0.5439
5,3,7,switch,50.000,34013184,61440,8192,1364,10006860,5442109.4,0.5437,0.5439
6,0,4,switch,50.000,34013184,61440,8192,2396,10007892,5442109.4,0.5437,0.5439
6,1,5,switch,50.000,34013184,61440,8192,2396,10007892,5442109.4,0.5437,0.5439
7,0,4,switch,50.000,34013184,61440,8192,2728,10008224,5442109.4,0.5437,0.5439
7,1,5,switch,50.000,34013184,61440,8192,2728,10008224,5442109.4,0.5437,0.5439
