sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,67960832,122880,16384,3757,19665739,5436866.6,0.2765,0.2765
4,1,1,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
4,2,6,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
4,3,7,switch,50.000,67960832,0,16384,1031,19663013,10873733.1,0.5529,0.5530
5,0,2,host,100.000,67960832,122880,16384,3757,19665739,5436866.6,0.2765,0.2765
5,1,3,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
5,2,6,switch,50.000,67960832,0,16384,1031,19663013,10873733.1,0.5529,0.5530
5,3,7,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
6,0,4,switch,50.000,67960832,0,16384,2394,19664376,10873733.1,0.5529,0.5530
6,1,5,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
7,0,4,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
7,1,5,switch,50.000,67960832,0,16384,2394,19664376,10873733.1,0.5529,0.5530
