sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,4251648,7680,1024,3760,624628,340131.8,0.5445,0.5475
4,1,1,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
4,2,6,switch,50.000,2125824,3840,512,1032,621568,340131.8,0.5445,0.5475
4,3,7,switch,50.000,2125824,3840,512,1364,621900,340131.8,0.5445,0.5475
5,0,2,host,100.000,4251648,7680,1024,3760,624628,340131.8,0.5445,0.5475
5,1,3,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
5,2,6,switch,50.000,2125824,3840,512,1032,621568,340131.8,0.5445,0.5475
5,3,7,switch,50.000,2125824,3840,512,1364,621900,340131.8,0.5445,0.5475
6,0,4,switch,50.000,2125824,3840,512,2396,622932,340131.8,0.5445,0.5475
6,1,5,switch,50.000,2125824,3840,512,2396,622932,340131.8,0.5445,0.5475
7,0,4,switch,50.000,2125824,3840,512,2728,623264,340131.8,0.5445,0.5475
7,1,5,switch,50.000,2125824,3840,512,2728,623264,340131.8,0.5445,0.5475
