sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,4247552,7680,1024,3757,781265,339804.2,0.4349,0.4369
4,1,1,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
4,2,6,switch,50.000,2123776,3840,512,1362,778369,339804.2,0.4349,0.4370
4,3,7,switch,50.000,2123776,3840,512,1031,621112,339804.2,0.4349,0.5474
5,0,2,host,100.000,4247552,7680,1024,3757,781095,339804.2,0.4349,0.4370
5,1,3,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
5,2,6,switch,50.000,4247552,3840,1024,1031,778539,679608.3,0.8699,0.8733
5,3,7,switch,50.000,0,3840,0,-1,-1,0.0,0.0000,0.0000
6,0,4,switch,50.000,4247552,3840,1024,2394,779902,679608.3,0.8699,0.8733
6,1,5,switch,50.000,2123776,3840,512,2725,779732,339804.2,0.4349,0.4370
7,0,4,switch,50.000,0,3840,0,-1,-1,0.0,0.0000,0.0000
7,1,5,switch,50.000,2123776,3840,512,2394,622475,339804.2,0.4349,0.5474
