sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,13061062656,23592960,3145728,1032,1397378853,1044885012.5,0.7477,0.7477
4,1,1,host,100.000,13061062656,23592960,3145728,1032,1397526933,1044885012.5,0.7477,0.7477
4,2,6,switch,50.000,8707375104,15728640,2097152,1364,1396977210,1393180016.6,0.9969,0.9973
4,3,7,switch,50.000,8707375104,15728640,2097152,1696,1396924098,1393180016.6,0.9969,0.9973
5,0,2,host,100.000,13061062656,23592960,3145728,1364,1396926826,1044885012.5,0.7477,0.7480
5,1,3,host,100.000,13061062656,23592960,3145728,1364,1396979938,1044885012.5,0.7477,0.7480
5,2,6,switch,50.000,8707375104,23592960,2097152,1032,1397524205,1393180016.6,0.9969,0.9969
5,3,7,switch,50.000,8707375104,7864320,2097152,1696,1397376125,1393180016.6,0.9969,0.9970
6,0,4,switch,50.000,8707375104,23592960,2097152,2396,1397525569,1393180016.6,0.9969,0.9969
6,1,5,switch,50.000,8707375104,15728640,2097152,2728,1396978574,1393180016.6,0.9969,0.9973
7,0,4,switch,50.000,8707375104,7864320,2097152,3060,1397377489,1393180016.6,0.9969,0.9970
7,1,5,switch,50.000,8707375104,15728640,2097152,3060,1396925462,1393180016.6,0.9969,0.9973
