sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,12568,300,5,1032,11068,1005.4,0.0908,0.0982
4,1,1,host,100.000,12568,300,5,1032,10732,1005.4,0.0908,0.1015
4,2,6,switch,50.000,8416,240,4,1200,4844,1346.6,0.1217,0.3383
4,3,7,switch,50.000,8416,240,4,1368,4676,1346.6,0.1217,0.3695
5,0,2,host,100.000,12568,300,5,1200,6580,1005.4,0.0908,0.1802
5,1,3,host,100.000,12568,300,5,1200,6920,1005.4,0.0908,0.1698
5,2,6,switch,50.000,8416,360,4,868,8996,1346.6,0.1217,0.1591
5,3,7,switch,50.000,8416,120,4,1368,8824,1346.6,0.1217,0.1728
6,0,4,switch,50.000,8416,360,4,1904,10032,1346.6,0.1217,0.1591
6,1,5,switch,50.000,8416,240,4,2236,5880,1346.6,0.1217,0.3383
7,0,4,switch,50.000,8416,120,4,2404,9860,1346.6,0.1217,0.1728
7,1,5,switch,50.000,8416,240,4,2404,5712,1346.6,0.1217,0.3695
