sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,50970624,92160,12288,1031,7427845,4077649.9,0.5490,0.5490
4,1,1,host,100.000,50970624,92160,12288,1031,6850029,4077649.9,0.5490,0.5953
4,2,6,switch,50.000,42475520,61440,10240,1362,6827927,6796083.2,0.9149,0.9954
4,3,7,switch,50.000,25485312,61440,6144,1362,5804279,4077649.9,0.5490,0.7026
5,0,2,host,100.000,50970624,92160,12288,1693,6768704,4077649.9,0.5490,0.6025
5,1,3,host,100.000,50970624,92160,12288,1693,6830653,4077649.9,0.5490,0.5971
5,2,6,switch,50.000,25485312,92160,6144,1031,6847303,4077649.9,0.5490,0.5955
5,3,7,switch,50.000,42475520,30720,10240,1362,7425119,6796083.2,0.9149,0.9154
6,0,4,switch,50.000,25485312,92160,6144,2394,6848666,4077649.9,0.5490,0.5955
6,1,5,switch,50.000,42475520,61440,10240,2725,6829290,6796083.2,0.9149,0.9954
7,0,4,switch,50.000,42475520,30720,10240,2725,7426482,6796083.2,0.9149,0.9154
7,1,5,switch,50.000,25485312,61440,6144,2725,5805642,4077649.9,0.5490,0.7026
