sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,3262119936,5898240,786432,1031,474507242,260969594.9,0.5500,0.5500
4,1,1,host,100.000,3262119936,5898240,786432,1031,438132067,260969594.9,0.5500,0.5956
4,2,6,switch,50.000,2718433280,3932160,655360,1362,436524161,434949324.8,0.9166,0.9964
4,3,7,switch,50.000,1631059968,3932160,393216,1362,372015013,260969594.9,0.5500,0.7015
5,0,2,host,100.000,3262119936,5898240,786432,1693,433852580,260969594.9,0.5500,0.6015
5,1,3,host,100.000,3262119936,5898240,786432,1693,436526887,260969594.9,0.5500,0.5978
5,2,6,switch,50.000,1631059968,5898240,393216,1031,438129341,260969594.9,0.5500,0.5956
5,3,7,switch,50.000,2718433280,1966080,655360,1362,474504516,434949324.8,0.9166,0.9166
6,0,4,switch,50.000,1631059968,5898240,393216,2394,438130704,260969594.9,0.5500,0.5956
6,1,5,switch,50.000,2718433280,3932160,655360,2725,436525524,434949324.8,0.9166,0.9964
7,0,4,switch,50.000,2718433280,1966080,655360,2725,474505879,434949324.8,0.9166,0.9166
7,1,5,switch,50.000,1631059968,3932160,393216,2725,372016376,260969594.9,0.5500,0.7015
