sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,3188736,5760,768,1032,347744,255098.9,0.7221,0.7351
4,1,1,host,100.000,3188736,5760,768,1032,353279,255098.9,0.7221,0.7235
4,2,6,switch,50.000,2125824,3840,512,1364,349102,340131.8,0.9628,0.9763
4,3,7,switch,50.000,2125824,3840,512,2028,348421,340131.8,0.9628,0.9800
5,0,2,host,100.000,3188736,5760,768,1696,349165,255098.9,0.7221,0.7335
5,1,3,host,100.000,3188736,5760,768,1696,351830,255098.9,0.7221,0.7279
5,2,6,switch,50.000,2125824,5760,512,1032,350551,340131.8,0.9628,0.9713
5,3,7,switch,50.000,2125824,1920,512,2028,347672,340131.8,0.9628,0.9822
6,0,4,switch,50.000,2125824,5760,512,2396,351915,340131.8,0.9628,0.9713
6,1,5,switch,50.000,2125824,3840,512,2728,350466,340131.8,0.9628,0.9763
7,0,4,switch,50.000,2125824,1920,512,3392,349036,340131.8,0.9628,0.9822
7,1,5,switch,50.000,2125824,3840,512,3392,349785,340131.8,0.9628,0.9800
