sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,13061062656,23592960,3145728,1032,1397853754,1044885012.5,0.7468,0.7475
4,1,1,host,100.000,13061062656,23592960,3145728,1032,1398824744,1044885012.5,0.7468,0.7470
4,2,6,switch,50.000,8707375104,15728640,2097152,1364,1398831496,1393180016.6,0.9958,0.9960
4,3,7,switch,50.000,8707375104,15728640,2097152,2028,1399100244,1393180016.6,0.9958,0.9958
5,0,2,host,100.000,13061062656,23592960,3145728,1696,1398581349,1044885012.5,0.7468,0.7471
5,1,3,host,100.000,13061062656,23592960,3145728,1696,1399102972,1044885012.5,0.7468,0.7468
5,2,6,switch,50.000,8707375104,23592960,2097152,1032,1398822016,1393180016.6,0.9958,0.9960
5,3,7,switch,50.000,8707375104,7864320,2097152,2028,1396138827,1393180016.6,0.9958,0.9979
6,0,4,switch,50.000,8707375104,23592960,2097152,2396,1398823380,1393180016.6,0.9958,0.9960
6,1,5,switch,50.000,8707375104,15728640,2097152,2728,1398832860,1393180016.6,0.9958,0.9960
7,0,4,switch,50.000,8707375104,7864320,2097152,3392,1396140191,1393180016.6,0.9958,0.9979
7,1,5,switch,50.000,8707375104,15728640,2097152,3392,1399101608,1393180016.6,0.9958,0.9958
