sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,12568,300,5,1032,3944,1005.4,0.2178,0.3230
4,1,1,host,100.000,12568,300,5,1032,4616,1005.4,0.2178,0.2656
4,2,6,switch,50.000,8416,240,4,1200,2208,1346.6,0.2917,1.0014
4,3,7,switch,50.000,8416,240,4,1536,2544,1346.6,0.2917,1.0014
5,0,2,host,100.000,12568,300,5,1368,3944,1005.4,0.2178,0.3620
5,1,3,host,100.000,12568,300,5,1368,4616,1005.4,0.2178,0.2915
5,2,6,switch,50.000,8416,360,4,868,1876,1346.6,0.2917,1.0014
5,3,7,switch,50.000,8416,120,4,1536,2544,1346.6,0.2917,1.0014
6,0,4,switch,50.000,8416,360,4,1904,2912,1346.6,0.2917,1.0014
6,1,5,switch,50.000,8416,240,4,2236,3244,1346.6,0.2917,1.0014
7,0,4,switch,50.000,8416,120,4,2572,3580,1346.6,0.2917,1.0014
7,1,5,switch,50.000,8416,240,4,2572,3580,1346.6,0.2917,1.0014
