sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,49776,300,12,1031,8729,3982.1,0.3960,0.4959
4,1,1,host,100.000,49776,300,12,1031,10055,3982.1,0.3960,0.4256
4,2,6,switch,50.000,41480,240,10,1362,7329,6636.8,0.6600,1.0009
4,3,7,switch,50.000,24888,240,6,1362,4677,3982.1,0.3960,1.0009
5,0,2,host,100.000,49776,300,12,1693,9392,3982.1,0.3960,0.4958
5,1,3,host,100.000,49776,300,12,1693,10055,3982.1,0.3960,0.4580
5,2,6,switch,50.000,24888,360,6,1031,4346,3982.1,0.3960,1.0009
5,3,7,switch,50.000,41480,120,10,1362,7329,6636.8,0.6600,1.0009
6,0,4,switch,50.000,24888,360,6,2394,5709,3982.1,0.3960,1.0009
6,1,5,switch,50.000,41480,240,10,2725,8692,6636.8,0.6600,1.0009
7,0,4,switch,50.000,41480,120,10,2725,8692,6636.8,0.6600,1.0009
7,1,5,switch,50.000,24888,240,6,2725,6040,3982.1,0.3960,1.0009
