sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,12742656,23040,3072,1031,1860600,1019412.5,0.5479,0.5481
4,1,1,host,100.000,12742656,23040,3072,1031,1706832,1019412.5,0.5479,0.5975
4,2,6,switch,50.000,10618880,15360,2560,1362,1705584,1699020.8,0.9132,0.9966
4,3,7,switch,50.000,6371328,15360,1536,1362,1443678,1019412.5,0.5479,0.7065
5,0,2,host,100.000,12742656,23040,3072,1693,1692068,1019412.5,0.5479,0.6030
5,1,3,host,100.000,12742656,23040,3072,1693,1708310,1019412.5,0.5479,0.5972
5,2,6,switch,50.000,6371328,23040,1536,1031,1704106,1019412.5,0.5479,0.5983
5,3,7,switch,50.000,10618880,7680,2560,1362,1857874,1699020.8,0.9132,0.9148
6,0,4,switch,50.000,6371328,23040,1536,2394,1705469,1019412.5,0.5479,0.5983
6,1,5,switch,50.000,10618880,15360,2560,2725,1706947,1699020.8,0.9132,0.9966
7,0,4,switch,50.000,10618880,7680,2560,2725,1859237,1699020.8,0.9132,0.9148
7,1,5,switch,50.000,6371328,15360,1536,2725,1445041,1019412.5,0.5479,0.7065
