sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,199296,0,48,1032,24344,15943.7,0.6375,0.6743
4,1,1,host,100.000,199296,0,48,1032,25008,15943.7,0.6375,0.6559
4,2,6,switch,50.000,132864,0,32,1364,21948,21258.2,0.8501,1.0005
4,3,7,switch,50.000,132864,0,32,1696,22280,21258.2,0.8501,1.0005
5,0,2,host,100.000,199296,0,48,1364,24344,15943.7,0.6375,0.6839
5,1,3,host,100.000,199296,0,48,1364,25008,15943.7,0.6375,0.6650
5,2,6,switch,50.000,132864,0,32,1032,21948,21258.2,0.8501,0.9851
5,3,7,switch,50.000,132864,0,32,1696,22280,21258.2,0.8501,1.0005
6,0,4,switch,50.000,132864,0,32,2396,23312,21258.2,0.8501,0.9851
6,1,5,switch,50.000,132864,0,32,2728,23312,21258.2,0.8501,1.0005
7,0,4,switch,50.000,132864,0,32,3060,23644,21258.2,0.8501,1.0005
7,1,5,switch,50.000,132864,0,32,3060,23644,21258.2,0.8501,1.0005
