sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,204079104,224116,49152,1032,21761712,16326328.3,0.6301,0.7503
4,1,1,host,100.000,204079104,224718,49152,1032,21759720,16326328.3,0.6301,0.7503
4,2,6,switch,50.000,136052736,0,32768,1364,21758652,21768437.8,0.8401,1.0005
4,3,7,switch,50.000,136052736,0,32768,1696,21758984,21768437.8,0.8401,1.0005
5,0,2,host,100.000,204079104,152220,49152,1364,25911650,16326328.3,0.6301,0.6301
5,1,3,host,100.000,204079104,161422,49152,1364,25850717,16326328.3,0.6301,0.6316
5,2,6,switch,50.000,136052736,0,32768,1032,21758652,21768437.8,0.8401,1.0005
5,3,7,switch,50.000,136052736,0,32768,1696,21758984,21768437.8,0.8401,1.0005
6,0,4,switch,50.000,136052736,0,32768,2396,21760016,21768437.8,0.8401,1.0005
6,1,5,switch,50.000,136052736,0,32768,2728,21760016,21768437.8,0.8401,1.0005
7,0,4,switch,50.000,136052736,0,32768,3060,21760348,21768437.8,0.8401,1.0005
7,1,5,switch,50.000,136052736,0,32768,3060,21760348,21768437.8,0.8401,1.0005
