sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,199817456,433956,48172,1031,27159242,15985396.5,0.5400,0.5886
4,1,1,host,100.000,203882496,630328,49152,1031,29603403,16310599.7,0.5510,0.5510
4,2,6,switch,50.000,169902080,0,40960,1362,27157179,27184332.8,0.9183,1.0010
4,3,7,switch,50.000,101941248,0,24576,1362,16294587,16310599.7,0.5510,1.0010
5,0,2,host,100.000,203882496,472484,49152,1693,29568965,16310599.7,0.5510,0.5516
5,1,3,host,100.000,203882496,441954,49152,1693,27159905,16310599.7,0.5510,0.6006
5,2,6,switch,50.000,101941248,0,24576,1031,26755465,16310599.7,0.5510,0.6096
5,3,7,switch,50.000,169902080,0,40960,1362,27157179,27184332.8,0.9183,1.0010
6,0,4,switch,50.000,101941248,0,24576,2394,26756828,16310599.7,0.5510,0.6096
6,1,5,switch,50.000,169902080,0,40960,2725,27158542,27184332.8,0.9183,1.0010
7,0,4,switch,50.000,169902080,0,40960,2725,27158542,27184332.8,0.9183,1.0010
7,1,5,switch,50.000,101941248,0,24576,2725,16295950,16310599.7,0.5510,1.0010
