sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,199296,0,48,1032,24012,15943.7,0.6292,0.6839
4,1,1,host,100.000,199296,0,48,1032,25340,15943.7,0.6292,0.6471
4,2,6,switch,50.000,132864,0,32,1364,21948,21258.2,0.8389,1.0005
4,3,7,switch,50.000,132864,0,32,2028,22612,21258.2,0.8389,1.0005
5,0,2,host,100.000,199296,0,48,1696,24012,15943.7,0.6292,0.7040
5,1,3,host,100.000,199296,0,48,1696,25340,15943.7,0.6292,0.6650
5,2,6,switch,50.000,132864,0,32,1032,21616,21258.2,0.8389,1.0005
5,3,7,switch,50.000,132864,0,32,2028,22612,21258.2,0.8389,1.0005
6,0,4,switch,50.000,132864,0,32,2396,22980,21258.2,0.8389,1.0005
6,1,5,switch,50.000,132864,0,32,2728,23312,21258.2,0.8389,1.0005
7,0,4,switch,50.000,132864,0,32,3392,23976,21258.2,0.8389,1.0005
7,1,5,switch,50.000,132864,0,32,3392,23976,21258.2,0.8389,1.0005
