sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
4,0,0,host,100.000,204079104,203734,49152,1032,24314215,16326328.3,0.6715,0.6715
4,1,1,host,100.000,204079104,204938,49152,1032,24311508,16326328.3,0.6715,0.6716
4,2,6,switch,50.000,136052736,0,32768,1364,21758652,21768437.8,0.8953,1.0005
4,3,7,switch,50.000,136052736,0,32768,2028,21759316,21768437.8,0.8953,1.0005
5,0,2,host,100.000,204079104,204508,49152,1696,24314810,16326328.3,0.6715,0.6715
5,1,3,host,100.000,204079104,191178,49152,1696,24312549,16326328.3,0.6715,0.6716
5,2,6,switch,50.000,136052736,0,32768,1032,21758320,21768437.8,0.8953,1.0005
5,3,7,switch,50.000,136052736,0,32768,2028,21759316,21768437.8,0.8953,1.0005
6,0,4,switch,50.000,136052736,0,32768,2396,21759684,21768437.8,0.8953,1.0005
6,1,5,switch,50.000,136052736,0,32768,2728,21760016,21768437.8,0.8953,1.0005
7,0,4,switch,50.000,136052736,0,32768,3392,21760680,21768437.8,0.8953,1.0005
7,1,5,switch,50.000,136052736,0,32768,3392,21760680,21768437.8,0.8953,1.0005
