sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,204079104,368640,49152,1898,23098489,16326328.3,0.6922,0.7069
8,1,13,host,100.000,272105472,491520,65536,1898,23584783,21768437.8,0.9230,0.9230
8,2,10,switch,50.000,102039552,122880,24576,2230,23143197,16326328.3,0.6922,0.7055
8,3,11,switch,50.000,102039552,245760,24576,2562,23141205,16326328.3,0.6922,0.7056
9,0,14,host,100.000,204079104,368640,49152,4958,23145925,16326328.3,0.6922,0.7055
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,102039552,245760,24576,1898,19707811,16326328.3,0.6922,0.8285
9,3,11,switch,50.000,102039552,122880,24576,2562,19760712,16326328.3,0.6922,0.8263
10,0,8,switch,50.000,102039552,245760,24576,3262,19709175,16326328.3,0.6922,0.8285
10,1,9,switch,50.000,102039552,122880,24576,3594,23144561,16326328.3,0.6922,0.7055
11,0,8,switch,50.000,102039552,122880,24576,3926,19762076,16326328.3,0.6922,0.8263
11,1,9,switch,50.000,102039552,245760,24576,3926,23142569,16326328.3,0.6922,0.7056
