sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,12742656,23040,3072,1896,1367810,1019412.5,0.7067,0.7461
8,1,13,host,100.000,16990208,30720,4096,1896,1442530,1359216.6,0.9422,0.9433
8,2,10,switch,50.000,4247552,7680,1024,3220,1283510,679608.3,0.4711,0.5305
8,3,11,switch,50.000,8495104,15360,2048,2558,1435698,1359216.6,0.9422,0.9480
9,0,14,host,100.000,12742656,23040,3072,5284,1438424,1019412.5,0.7067,0.7111
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,8495104,15360,2048,1896,1439804,1359216.6,0.9422,0.9448
9,3,11,switch,50.000,4247552,7680,1024,2889,1325705,679608.3,0.4711,0.5135
10,0,8,switch,50.000,8495104,15360,2048,3259,1441167,1359216.6,0.9422,0.9448
10,1,9,switch,50.000,4247552,7680,1024,4583,1284873,679608.3,0.4711,0.5305
11,0,8,switch,50.000,4247552,7680,1024,4252,1327068,679608.3,0.4711,0.5135
11,1,9,switch,50.000,8495104,15360,2048,3921,1437061,1359216.6,0.9422,0.9480
