sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,204079104,368640,49152,1898,21987366,16326328.3,0.7425,0.7426
8,1,13,host,100.000,272105472,491520,65536,1898,21971344,21768437.8,0.9900,0.9908
8,2,10,switch,50.000,102039552,122880,24576,2562,19603538,16326328.3,0.7425,0.8329
8,3,11,switch,50.000,102039552,245760,24576,2894,19538860,16326328.3,0.7425,0.8357
9,0,14,host,100.000,204079104,368640,49152,5290,19606266,16326328.3,0.7425,0.8329
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,102039552,245760,24576,1898,19554214,16326328.3,0.7425,0.8350
9,3,11,switch,50.000,102039552,122880,24576,2894,19583652,16326328.3,0.7425,0.8338
10,0,8,switch,50.000,102039552,245760,24576,3262,19555578,16326328.3,0.7425,0.8350
10,1,9,switch,50.000,102039552,122880,24576,3926,19604902,16326328.3,0.7425,0.8329
11,0,8,switch,50.000,102039552,122880,24576,4258,19585016,16326328.3,0.7425,0.8338
11,1,9,switch,50.000,102039552,245760,24576,4258,19540224,16326328.3,0.7425,0.8357
