sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,203882496,368640,49152,1896,29814009,16310599.7,0.4902,0.5471
8,1,13,host,100.000,271843328,491520,65536,2061,33276402,21747466.2,0.6535,0.6536
8,2,10,switch,50.000,67960832,245760,16384,2392,29567018,10873733.1,0.3268,0.3678
8,3,11,switch,50.000,135921664,122880,32768,328193,32800705,21747466.2,0.6535,0.6697
9,0,14,host,100.000,203882496,368640,49152,5118,32803431,16310599.7,0.4902,0.4973
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,203882496,245760,49152,1896,33273676,32621199.4,0.9803,0.9804
9,3,11,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
10,0,8,switch,50.000,203882496,245760,49152,3259,33275039,32621199.4,0.9803,0.9804
10,1,9,switch,50.000,67960832,245760,16384,3755,29568381,10873733.1,0.3268,0.3678
11,0,8,switch,50.000,0,122880,0,-1,-1,0.0,0.0000,0.0000
11,1,9,switch,50.000,135921664,122880,32768,329556,32802068,21747466.2,0.6535,0.6697
