sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,12754944,23040,3072,1898,1390831,1020395.5,0.7336,0.7345
8,1,13,host,100.000,17006592,30720,4096,1898,1391025,1360527.4,0.9781,0.9792
8,2,10,switch,50.000,6377472,7680,1536,2562,1236583,1020395.5,0.7336,0.8264
8,3,11,switch,50.000,6377472,15360,1536,2894,1248207,1020395.5,0.7336,0.8190
9,0,14,host,100.000,12754944,23040,3072,5290,1250935,1020395.5,0.7336,0.8190
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,6377472,15360,1536,1898,1248909,1020395.5,0.7336,0.8178
9,3,11,switch,50.000,6377472,7680,1536,2894,1236293,1020395.5,0.7336,0.8269
10,0,8,switch,50.000,6377472,15360,1536,3262,1250273,1020395.5,0.7336,0.8178
10,1,9,switch,50.000,6377472,7680,1536,3926,1237947,1020395.5,0.7336,0.8264
11,0,8,switch,50.000,6377472,7680,1536,4258,1237657,1020395.5,0.7336,0.8269
11,1,9,switch,50.000,6377472,15360,1536,4258,1249571,1020395.5,0.7336,0.8190
