sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,12754944,23040,3072,1898,1459183,1020395.5,0.5163,0.7000
8,1,13,host,100.000,17006592,30720,4096,1898,1976213,1360527.4,0.6885,0.6890
8,2,10,switch,50.000,6377472,7680,1536,2230,1512291,1020395.5,0.5163,0.6754
8,3,11,switch,50.000,6377472,15360,1536,2562,1511782,1020395.5,0.5163,0.6758
9,0,14,host,100.000,12754944,23040,3072,4958,1515023,1020395.5,0.5163,0.6756
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,6377472,15360,1536,1898,1422419,1020395.5,0.5163,0.7180
9,3,11,switch,50.000,6377472,7680,1536,2562,1427394,1020395.5,0.5163,0.7158
10,0,8,switch,50.000,6377472,15360,1536,3262,1423783,1020395.5,0.5163,0.7180
10,1,9,switch,50.000,6377472,7680,1536,3594,1513655,1020395.5,0.5163,0.6754
11,0,8,switch,50.000,6377472,7680,1536,3926,1428758,1020395.5,0.5163,0.7158
11,1,9,switch,50.000,6377472,15360,1536,3926,1513146,1020395.5,0.5163,0.6758
