sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,203882496,368640,49152,1896,21704995,16310599.7,0.7087,0.7515
8,1,13,host,100.000,271843328,491520,65536,1896,23015816,21747466.2,0.9449,0.9450
8,2,10,switch,50.000,67960832,122880,16384,3220,19981590,10873733.1,0.4724,0.5443
8,3,11,switch,50.000,135921664,245760,32768,2558,23008984,21747466.2,0.9449,0.9453
9,0,14,host,100.000,203882496,368640,49152,5284,23011710,16310599.7,0.7087,0.7089
9,1,15,host,100.000,0,0,0,-1,-1,0.0,0.0000,0.0000
9,2,10,switch,50.000,135921664,245760,32768,1896,23013090,21747466.2,0.9449,0.9451
9,3,11,switch,50.000,67960832,122880,16384,2889,21122489,10873733.1,0.4724,0.5148
10,0,8,switch,50.000,135921664,245760,32768,3259,23014453,21747466.2,0.9449,0.9451
10,1,9,switch,50.000,67960832,122880,16384,4583,19982953,10873733.1,0.4724,0.5443
11,0,8,switch,50.000,67960832,122880,16384,4252,21123852,10873733.1,0.4724,0.5148
11,1,9,switch,50.000,135921664,245760,32768,3921,23010347,21747466.2,0.9449,0.9453
