sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,21258240,38400,5120,1898,3453355,1700659.2,0.4069,0.4927
8,1,13,host,100.000,34013184,61440,8192,1898,3973774,2721054.7,0.6511,0.6850
8,2,10,switch,50.000,19132416,24960,4608,2230,4132435,3061186.6,0.7325,0.7411
8,3,11,switch,50.000,19132416,44160,4608,2562,4176317,3061186.6,0.7325,0.7333
9,0,14,host,100.000,34013184,61440,8192,2894,4179045,2721054.7,0.6511,0.6515
9,1,15,host,100.000,21258240,38400,5120,2230,3129337,1700659.2,0.4069,0.5438
9,2,10,switch,50.000,19132416,42240,4608,1898,3971046,3061186.6,0.7325,0.7711
9,3,11,switch,50.000,19132416,26880,4608,1898,3934194,3061186.6,0.7325,0.7783
10,0,8,switch,50.000,19132416,42240,4608,3262,3972410,3061186.6,0.7325,0.7711
10,1,9,switch,50.000,19132416,24960,4608,3594,4133799,3061186.6,0.7325,0.7411
11,0,8,switch,50.000,19132416,26880,4608,3262,3935558,3061186.6,0.7325,0.7783
11,1,9,switch,50.000,19132416,44160,4608,3926,4177681,3061186.6,0.7325,0.7333
