sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,21237760,38400,5120,1896,4561747,1699020.8,0.3283,0.3726
8,1,13,host,100.000,33980416,61440,8192,1896,4626480,2718433.3,0.5252,0.5878
8,2,10,switch,50.000,19113984,24960,4608,2558,4641751,3058237.4,0.5909,0.6591
8,3,11,switch,50.000,19113984,44160,4608,2889,5173165,3058237.4,0.5909,0.5914
9,0,14,host,100.000,33980416,61440,8192,2889,5175891,2718433.3,0.5252,0.5255
9,1,15,host,100.000,21237760,38400,5120,3551,4565700,1699020.8,0.3283,0.3724
9,2,10,switch,50.000,28670976,42240,6912,1896,4623754,4587356.2,0.8863,0.9924
9,3,11,switch,50.000,9556992,26880,2304,2227,4255835,1529118.7,0.2954,0.3594
10,0,8,switch,50.000,28670976,42240,6912,3259,4625117,4587356.2,0.8863,0.9924
10,1,9,switch,50.000,19113984,24960,4608,3921,4643114,3058237.4,0.5909,0.6591
11,0,8,switch,50.000,9556992,26880,2304,3590,4257198,1529118.7,0.2954,0.3594
11,1,9,switch,50.000,19113984,44160,4608,4252,5174528,3058237.4,0.5909,0.5914
