sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,340131840,614400,81920,1898,51213996,27210547.2,0.5108,0.5313
8,1,13,host,100.000,544210944,983040,131072,1898,52275378,43536875.5,0.8173,0.8329
8,2,10,switch,50.000,306118656,399360,73728,2562,53266684,48978985.0,0.9195,0.9195
8,3,11,switch,50.000,306118656,706560,73728,2894,52245500,48978985.0,0.9195,0.9375
9,0,14,host,100.000,544210944,983040,131072,2894,53269412,43536875.5,0.8173,0.8173
9,1,15,host,100.000,340131840,614400,81920,3558,53178806,27210547.2,0.5108,0.5117
9,2,10,switch,50.000,306118656,675840,73728,1898,51211268,48978985.0,0.9195,0.9564
9,3,11,switch,50.000,306118656,430080,73728,3558,52272650,48978985.0,0.9195,0.9370
10,0,8,switch,50.000,306118656,675840,73728,3262,51212632,48978985.0,0.9195,0.9564
10,1,9,switch,50.000,306118656,399360,73728,3926,53268048,48978985.0,0.9195,0.9195
11,0,8,switch,50.000,306118656,430080,73728,4922,52274014,48978985.0,0.9195,0.9370
11,1,9,switch,50.000,306118656,706560,73728,4258,52246864,48978985.0,0.9195,0.9375
