sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,340131840,614400,81920,1898,50947850,27210547.2,0.5099,0.5341
8,1,13,host,100.000,544210944,983040,131072,1898,52589030,43536875.5,0.8159,0.8279
8,2,10,switch,50.000,306118656,399360,73728,2562,53359324,48978985.0,0.9179,0.9179
8,3,11,switch,50.000,306118656,706560,73728,2894,52544182,48978985.0,0.9179,0.9322
9,0,14,host,100.000,544210944,983040,131072,2894,53362052,43536875.5,0.8159,0.8159
9,1,15,host,100.000,340131840,614400,81920,3558,53341526,27210547.2,0.5099,0.5102
9,2,10,switch,50.000,306118656,675840,73728,1898,50945122,48978985.0,0.9179,0.9614
9,3,11,switch,50.000,306118656,430080,73728,3558,52586302,48978985.0,0.9179,0.9315
10,0,8,switch,50.000,306118656,675840,73728,3262,50946486,48978985.0,0.9179,0.9614
10,1,9,switch,50.000,306118656,399360,73728,3926,53360688,48978985.0,0.9179,0.9179
11,0,8,switch,50.000,306118656,430080,73728,4922,52587666,48978985.0,0.9179,0.9315
11,1,9,switch,50.000,306118656,706560,73728,4258,52545546,48978985.0,0.9179,0.9322
