sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,21258240,38400,5120,1898,3542198,1700659.2,0.3881,0.4803
8,1,13,host,100.000,34013184,61440,8192,1898,4137924,2721054.7,0.6210,0.6578
8,2,10,switch,50.000,19132416,24960,4608,2230,4342549,3061186.6,0.6986,0.7052
8,3,11,switch,50.000,19132416,44160,4608,2562,4379329,3061186.6,0.6986,0.6993
9,0,14,host,100.000,34013184,61440,8192,2894,4382057,2721054.7,0.6210,0.6213
9,1,15,host,100.000,21258240,38400,5120,2230,3239168,1700659.2,0.3881,0.5253
9,2,10,switch,50.000,19132416,42240,4608,1898,4135196,3061186.6,0.6986,0.7405
9,3,11,switch,50.000,19132416,26880,4608,1898,4099658,3061186.6,0.6986,0.7469
10,0,8,switch,50.000,19132416,42240,4608,3262,4136560,3061186.6,0.6986,0.7405
10,1,9,switch,50.000,19132416,24960,4608,3594,4343913,3061186.6,0.6986,0.7052
11,0,8,switch,50.000,19132416,26880,4608,3262,4101022,3061186.6,0.6986,0.7469
11,1,9,switch,50.000,19132416,44160,4608,3926,4380693,3061186.6,0.6986,0.6993
