sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,339804160,614400,81920,1896,73713911,27184332.8,0.3667,0.3688
8,1,13,host,100.000,543686656,983040,131072,1896,74134688,43494932.5,0.5867,0.5867
8,2,10,switch,50.000,305823744,399360,73728,2558,74106405,48931799.0,0.6600,0.6603
8,3,11,switch,50.000,305823744,706560,73728,2889,73711237,48931799.0,0.6600,0.6639
9,0,14,host,100.000,543686656,983040,131072,2889,74109131,43494932.5,0.5867,0.5869
9,1,15,host,100.000,339804160,614400,81920,3551,73880132,27184332.8,0.3667,0.3680
9,2,10,switch,50.000,458735616,675840,110592,1896,74131962,73397698.6,0.9901,0.9901
9,3,11,switch,50.000,152911872,430080,36864,2227,66418087,24465899.5,0.3300,0.3684
10,0,8,switch,50.000,458735616,675840,110592,3259,74133325,73397698.6,0.9901,0.9901
10,1,9,switch,50.000,305823744,399360,73728,3921,74107768,48931799.0,0.6600,0.6603
11,0,8,switch,50.000,152911872,430080,36864,3590,66419450,24465899.5,0.3300,0.3684
11,1,9,switch,50.000,305823744,706560,73728,4252,73712600,48931799.0,0.6600,0.6639
