sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,816317568,1477440,196632,1898,114462375,65305405.4,0.5671,0.5705
8,1,13,host,100.000,816317568,1477440,196632,2064,115150033,65305405.4,0.5671,0.5671
8,2,10,switch,50.000,544211712,1149120,131088,2230,107380406,87073873.9,0.7562,0.8109
8,3,11,switch,50.000,544211712,820800,131088,2894,107380184,87073873.9,0.7562,0.8109
9,0,14,host,100.000,816317568,1477440,196632,1898,106694713,65305405.4,0.5671,0.6121
9,1,15,host,100.000,816317568,1477440,196632,3226,113773368,65305405.4,0.5671,0.5740
9,2,10,switch,50.000,544211712,1087560,131088,1898,115147521,87073873.9,0.7562,0.7562
9,3,11,switch,50.000,544211712,882360,131088,2562,115147743,87073873.9,0.7562,0.7562
10,0,8,switch,50.000,544211712,1087560,131088,3262,115148666,87073873.9,0.7562,0.7562
10,1,9,switch,50.000,544211712,1149120,131088,3594,107381551,87073873.9,0.7562,0.8109
11,0,8,switch,50.000,544211712,882360,131088,3926,115148888,87073873.9,0.7562,0.7562
11,1,9,switch,50.000,544211712,820800,131088,4258,107381329,87073873.9,0.7562,0.8109
