sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,796692,2040,201,1896,94145,63735.4,0.6551,0.6885
8,1,13,host,100.000,796744,2040,202,2061,93701,63739.5,0.6551,0.6932
8,2,10,switch,50.000,575744,1680,152,3220,95007,92119.0,0.9468,0.9970
8,3,11,switch,50.000,487032,1260,126,3385,80998,77925.1,0.8009,0.9961
9,0,14,host,100.000,796796,2280,203,4544,96845,63743.7,0.6552,0.6883
9,1,15,host,100.000,797004,1860,207,4544,97295,63760.3,0.6553,0.6852
9,2,10,switch,50.000,564252,1500,141,1896,91638,90280.3,0.9279,0.9989
9,3,11,switch,50.000,498160,1380,130,2227,81617,79705.6,0.8192,0.9963
10,0,8,switch,50.000,564252,1500,141,3259,93001,90280.3,0.9279,0.9989
10,1,9,switch,50.000,575744,1680,152,4583,96370,92119.0,0.9468,0.9970
11,0,8,switch,50.000,498160,1380,130,3590,82980,79705.6,0.8192,0.9963
11,1,9,switch,50.000,487032,1260,126,4748,82361,77925.1,0.8009,0.9961
