sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,797184,4800,192,1898,89359,63774.7,0.6915,0.7264
8,1,13,host,100.000,797184,4800,192,2064,90831,63774.7,0.6915,0.7158
8,2,10,switch,50.000,531456,4800,128,4554,89503,85033.0,0.9220,0.9932
8,3,11,switch,50.000,531456,2880,128,3226,87896,85033.0,0.9220,0.9965
9,0,14,host,100.000,797184,4800,192,4554,90624,63774.7,0.6915,0.7381
9,1,15,host,100.000,797184,4800,192,4554,92231,63774.7,0.6915,0.7246
9,2,10,switch,50.000,531456,4320,128,3226,88103,85033.0,0.9220,0.9941
9,3,11,switch,50.000,531456,3360,128,1898,86631,85033.0,0.9220,0.9957
10,0,8,switch,50.000,531456,4320,128,4590,89467,85033.0,0.9220,0.9941
10,1,9,switch,50.000,531456,4800,128,5918,90867,85033.0,0.9220,0.9932
11,0,8,switch,50.000,531456,3360,128,3262,87995,85033.0,0.9220,0.9957
11,1,9,switch,50.000,531456,2880,128,4590,89260,85033.0,0.9220,0.9965
