sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,816316416,1474560,196608,1898,94102420,65305313.3,0.6366,0.6940
8,1,13,host,100.000,816316416,1474560,196608,2064,94136518,65305313.3,0.6366,0.6937
8,2,10,switch,50.000,544210944,1228800,131072,4554,94632710,87073751.0,0.8488,0.9202
8,3,11,switch,50.000,544210944,737280,131072,3226,102580462,87073751.0,0.8488,0.8489
9,0,14,host,100.000,816316416,1474560,196608,4554,102583190,65305313.3,0.6366,0.6366
9,1,15,host,100.000,816316416,1474560,196608,4554,94635438,65305313.3,0.6366,0.6901
9,2,10,switch,50.000,544210944,1105920,131072,3226,94133790,87073751.0,0.8488,0.9250
9,3,11,switch,50.000,544210944,860160,131072,1898,94099692,87073751.0,0.8488,0.9253
10,0,8,switch,50.000,544210944,1105920,131072,4590,94135154,87073751.0,0.8488,0.9250
10,1,9,switch,50.000,544210944,1228800,131072,5918,94634074,87073751.0,0.8488,0.9202
11,0,8,switch,50.000,544210944,860160,131072,3262,94101056,87073751.0,0.8488,0.9253
11,1,9,switch,50.000,544210944,737280,131072,4590,102581826,87073751.0,0.8488,0.8489
