sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,797184,4800,192,1898,138058,63774.7,0.4597,0.4672
8,1,13,host,100.000,797184,4800,192,2064,138722,63774.7,0.4597,0.4655
8,2,10,switch,50.000,531456,4800,128,4554,114524,85033.0,0.6130,0.7686
8,3,11,switch,50.000,531456,2880,128,3226,104564,85033.0,0.6130,0.8336
9,0,14,host,100.000,797184,4800,192,4554,107292,63774.7,0.4597,0.6188
9,1,15,host,100.000,797184,4800,192,4554,117252,63774.7,0.4597,0.5642
9,2,10,switch,50.000,531456,4320,128,3226,135994,85033.0,0.6130,0.6373
9,3,11,switch,50.000,531456,3360,128,1898,135330,85033.0,0.6130,0.6341
10,0,8,switch,50.000,531456,4320,128,4590,137358,85033.0,0.6130,0.6373
10,1,9,switch,50.000,531456,4800,128,5918,115888,85033.0,0.6130,0.7686
11,0,8,switch,50.000,531456,3360,128,3262,136694,85033.0,0.6130,0.6341
11,1,9,switch,50.000,531456,2880,128,4590,105928,85033.0,0.6130,0.8336
