sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
8,0,12,host,100.000,816316416,1474560,196608,1898,87665923,65305313.3,0.7448,0.7449
8,1,13,host,100.000,816316416,1474560,196608,2064,87685926,65305313.3,0.7448,0.7448
8,2,10,switch,50.000,544210944,1228800,131072,4554,87516337,87073751.0,0.9930,0.9950
8,3,11,switch,50.000,544210944,737280,131072,3226,87421172,87073751.0,0.9930,0.9961
9,0,14,host,100.000,816316416,1474560,196608,4554,87423900,65305313.3,0.7448,0.7470
9,1,15,host,100.000,816316416,1474560,196608,4554,87519065,65305313.3,0.7448,0.7462
9,2,10,switch,50.000,544210944,1105920,131072,3226,87683198,87073751.0,0.9930,0.9931
9,3,11,switch,50.000,544210944,860160,131072,1898,87663195,87073751.0,0.9930,0.9933
10,0,8,switch,50.000,544210944,1105920,131072,4590,87684562,87073751.0,0.9930,0.9931
10,1,9,switch,50.000,544210944,1228800,131072,5918,87517701,87073751.0,0.9930,0.9950
11,0,8,switch,50.000,544210944,860160,131072,3262,87664559,87073751.0,0.9930,0.9933
11,1,9,switch,50.000,544210944,737280,131072,4590,87422536,87073751.0,0.9930,0.9961
