sw_id,port_id,peer_id,peer_kind,rate_gbps,data_bytes,ctrl_bytes,data_pkts,first_ns,last_ns,busy_ns,util_run,util_active
256,0,0,host,400.000,520800,12146,248,742,13012,10416.0,0.7244,0.8460
256,1,4,host,400.000,520800,14666,248,742,12394,10416.0,0.7244,0.8907
256,2,8,host,400.000,520800,14666,248,742,12843,10416.0,0.7244,0.8578
256,3,12,host,400.000,520800,14246,248,784,12438,10416.0,0.7244,0.8906
256,4,16,host,400.000,520800,18446,248,826,13302,10416.0,0.7244,0.8321
256,5,20,host,400.000,520800,15746,248,826,12309,10416.0,0.7244,0.9038
256,6,24,host,400.000,520800,15566,248,868,13035,10416.0,0.7244,0.8531
256,7,28,host,400.000,520800,14872,248,868,12800,10416.0,0.7244,0.8699
256,8,32,host,400.000,520800,13526,248,952,13257,10416.0,0.7244,0.8436
256,9,36,host,400.000,520800,12446,248,910,12479,10416.0,0.7244,0.8971
256,10,40,host,400.000,520800,13226,248,994,13255,10416.0,0.7244,0.8466
256,11,44,host,400.000,520800,13586,248,952,12441,10416.0,0.7244,0.9033
256,12,48,host,400.000,520800,15206,248,1036,13277,10416.0,0.7244,0.8480
256,13,52,host,400.000,520800,13226,248,994,12738,10416.0,0.7244,0.8838
256,14,56,host,400.000,520800,14666,248,1036,13422,10416.0,0.7244,0.8381
256,15,60,host,400.000,520800,12386,248,1036,12600,10416.0,0.7244,0.8975
256,16,64,host,400.000,520800,13226,248,1162,13063,10416.0,0.7244,0.8721
256,17,68,host,400.000,520800,16286,248,1078,12844,10416.0,0.7244,0.8821
256,18,72,host,400.000,520800,17186,248,1162,13193,10416.0,0.7244,0.8628
256,19,76,host,400.000,520800,15986,248,1120,12806,10416.0,0.7244,0.8881
256,20,80,host,400.000,520800,17186,248,1330,13435,10416.0,0.7244,0.8575
256,21,84,host,400.000,520800,13286,248,1162,12713,10416.0,0.7244,0.8985
256,22,88,host,400.000,520800,11726,248,1246,13381,10416.0,0.7244,0.8554
256,23,92,host,400.000,520800,13466,248,1204,12670,10416.0,0.7244,0.9051
256,24,96,host,400.000,520800,16046,248,1372,13344,10416.0,0.7244,0.8670
256,25,100,host,400.000,520800,14906,248,1246,12757,10416.0,0.7244,0.9016
256,26,104,host,400.000,520800,16046,248,1372,13711,10416.0,0.7244,0.8413
256,27,108,host,400.000,520800,15206,248,1288,12805,10416.0,0.7244,0.9011
256,28,112,host,400.000,520800,14366,248,1540,13696,10416.0,0.7244,0.8539
256,29,116,host,400.000,520800,12986,248,1330,12863,10416.0,0.7244,0.8999
256,30,120,host,400.000,520800,14126,248,1414,13395,10416.0,0.7244,0.8663
256,31,124,host,400.000,520800,14666,248,1372,12995,10416.0,0.7244,0.8929
256,32,128,host,400.000,520800,13826,248,1666,13752,10416.0,0.7244,0.8588
256,33,132,host,400.000,520800,14040,248,1414,12918,10416.0,0.7244,0.9021
256,34,136,host,400.000,520800,16380,248,1456,13866,10416.0,0.7244,0.8365
256,35,140,host,400.000,520800,15120,248,1456,12915,10416.0,0.7244,0.9057
256,36,144,host,400.000,520800,14340,248,1498,13244,10416.0,0.7244,0.8836
256,37,148,host,400.000,520800,12240,248,1498,13269,10416.0,0.7244,0.8817
256,38,152,host,400.000,520800,12772,248,1666,14069,10416.0,0.7244,0.8370
256,39,156,host,400.000,520800,15000,248,1540,13014,10416.0,0.7244,0.9045
256,40,160,host,400.000,520800,15240,248,1750,13983,10416.0,0.7244,0.8486
256,41,164,host,400.000,520800,14392,248,1582,13064,10416.0,0.7244,0.9039
256,42,168,host,400.000,520800,15686,248,1750,14026,10416.0,0.7244,0.8456
256,43,172,host,400.000,520800,16416,248,1624,13108,10416.0,0.7244,0.9037
256,44,176,host,400.000,520800,15892,248,1876,13972,10416.0,0.7244,0.8581
256,45,180,host,400.000,520800,14126,248,1666,13174,10416.0,0.7244,0.9018
256,46,184,host,400.000,520800,15978,248,1960,14115,10416.0,0.7244,0.8540
256,47,188,host,400.000,520800,14606,248,1708,13130,10416.0,0.7244,0.9086
256,48,192,host,400.000,520800,14066,248,2044,14088,10416.0,0.7244,0.8618
