time_ns,sw_id,port_id,q_id,qlen_bytes,op
1031,4,1,3,4148,enq
1031,4,1,3,0,deq
1031,4,0,3,4148,enq
1031,4,0,3,0,deq
1031,5,2,3,4148,enq
1031,5,2,3,0,deq
1031,5,2,3,4148,enq
1362,4,2,3,4148,enq
1362,4,2,3,0,deq
1362,4,3,3,4148,enq
1362,4,3,3,0,deq
1362,5,2,3,8296,enq
1362,5,3,3,4148,enq
1362,5,3,3,0,deq
1693,4,2,3,4148,enq
1693,4,2,3,8296,enq
1693,5,1,3,4148,enq
1693,5,1,3,0,deq
1693,5,0,3,4148,enq
1693,5,0,3,0,deq
1694,5,2,3,4148,deq
2024,4,2,3,12444,enq
2024,4,3,3,4148,enq
2024,5,3,3,4148,enq
2024,5,3,3,8296,enq
2025,4,2,3,8296,deq
2025,4,3,3,0,deq
2025,5,3,3,4148,deq
2355,4,2,3,12444,enq
2355,4,3,3,4148,enq
2355,5,3,3,8296,enq
2355,5,3,3,12444,enq
2357,5,2,3,0,deq
2394,6,0,3,4148,enq
2394,6,0,3,0,deq
2686,4,1,3,4148,enq
2686,4,1,3,0,deq
2686,4,0,3,4148,enq
2686,4,0,3,0,deq
2686,5,2,3,4148,enq
2686,5,2,3,8296,enq
2688,4,2,3,8296,deq
2688,4,3,3,0,deq
2688,5,3,3,8296,deq
2725,6,1,3,4148,enq
2725,6,1,3,0,deq
2725,7,1,3,4148,enq
2725,7,1,3,0,deq
2725,7,0,3,4148,enq
2725,7,0,3,0,deq
3017,4,2,3,12444,enq
3017,4,3,3,4148,enq
3017,5,2,3,12444,enq
3017,5,3,3,12444,enq
3020,5,2,3,8296,deq
3057,6,0,3,4148,enq
3057,6,0,3,0,deq
3348,4,2,3,16592,enq
3348,4,2,3,20740,enq
3348,5,1,3,4148,enq
3348,5,1,3,0,deq
3348,5,0,3,4148,enq
3348,5,0,3,0,deq
3351,4,2,3,16592,deq
3351,4,3,3,0,deq
3351,5,3,3,8296,deq
3388,6,1,3,4148,enq
3388,7,1,3,4148,enq
3388,7,0,3,4148,enq
3388,6,1,3,0,deq
3388,7,1,3,0,deq
3388,7,0,3,0,deq
3679,4,2,3,20740,enq
3679,4,3,3,4148,enq
3679,5,3,3,12444,enq
3679,5,3,3,16592,enq
3683,5,2,3,4148,deq
