time_ns,sw_id,port_id,q_id,qlen_bytes,op
1031,4,3,3,4148,enq
1031,4,3,3,0,deq
1031,5,2,3,4148,enq
1031,5,2,3,0,deq
1362,4,3,3,4148,enq
1362,5,2,3,4148,enq
1693,4,3,3,8296,enq
1693,5,2,3,8296,enq
1694,4,3,3,4148,deq
1694,5,2,3,4148,deq
2024,4,3,3,8296,enq
2024,5,2,3,8296,enq
2355,4,3,3,12444,enq
2355,5,2,3,12444,enq
2357,4,3,3,8296,deq
2357,5,2,3,8296,deq
2394,7,1,3,4148,enq
2394,7,1,3,0,deq
2394,6,0,3,4148,enq
2394,6,0,3,0,deq
2686,4,3,3,12444,enq
2686,5,2,3,12444,enq
3017,4,3,3,16592,enq
3017,5,2,3,16592,enq
3020,4,3,3,12444,deq
3020,5,2,3,12444,deq
3057,7,1,3,4148,enq
3057,6,0,3,4148,enq
3057,7,1,3,0,deq
3057,6,0,3,0,deq
3348,4,3,3,16592,enq
3348,5,2,3,16592,enq
3679,4,3,3,20740,enq
3679,5,2,3,20740,enq
3683,4,3,3,16592,deq
3683,5,2,3,16592,deq
3720,7,1,3,4148,enq
3720,6,0,3,4148,enq
3720,7,1,3,0,deq
3720,6,0,3,0,deq
3757,5,0,3,4148,enq
3757,5,0,3,0,deq
3757,4,0,3,4148,enq
3757,4,0,3,0,deq
4010,4,3,3,20740,enq
4010,5,2,3,20740,enq
4341,4,3,3,24888,enq
4341,5,2,3,24888,enq
4346,4,3,3,20740,deq
4346,5,2,3,20740,deq
4383,7,1,3,4148,enq
4383,6,0,3,4148,enq
4383,7,1,3,0,deq
4383,6,0,3,0,deq
4420,5,0,3,4148,enq
4420,5,0,3,0,deq
4420,4,0,3,4148,enq
4420,4,0,3,0,deq
4672,4,3,3,24888,enq
4672,5,2,3,24888,enq
5009,4,3,3,20740,deq
5009,5,2,3,20740,deq
5046,7,1,3,4148,enq
5046,6,0,3,4148,enq
5046,7,1,3,0,deq
5046,6,0,3,0,deq
5083,5,0,3,4148,enq
5083,5,0,3,0,deq
5083,4,0,3,4148,enq
5083,4,0,3,0,deq
5672,4,3,3,16592,deq
5672,5,2,3,16592,deq
5709,7,1,3,4148,enq
5709,6,0,3,4148,enq
5709,7,1,3,0,deq
5709,6,0,3,0,deq
5746,5,0,3,4148,enq
5746,5,0,3,0,deq
5746,4,0,3,4148,enq
5746,4,0,3,0,deq
6335,4,3,3,12444,deq
6335,5,2,3,12444,deq
6372,7,1,3,4148,enq
6372,6,0,3,4148,enq
6372,7,1,3,0,deq
6372,6,0,3,0,deq
6409,5,0,3,4148,enq
6409,5,0,3,0,deq
6409,4,0,3,4148,enq
6409,4,0,3,0,deq
6998,4,3,3,8296,deq
6998,5,2,3,8296,deq
7035,7,1,3,4148,enq
7035,6,0,3,4148,enq
7035,7,1,3,0,deq
7035,6,0,3,0,deq
7072,5,0,3,4148,enq
7072,5,0,3,0,deq
7072,4,0,3,4148,enq
7072,4,0,3,0,deq
7661,4,3,3,4148,deq
7661,5,2,3,4148,deq
7698,7,1,3,4148,enq
7698,6,0,3,4148,enq
7698,7,1,3,0,deq
7698,6,0,3,0,deq
7735,5,0,3,4148,enq
7735,5,0,3,0,deq
7735,4,0,3,4148,enq
7735,4,0,3,0,deq
8324,4,3,3,0,deq
8324,5,2,3,0,deq
8361,7,1,3,4148,enq
8361,6,0,3,4148,enq
8361,7,1,3,0,deq
8361,6,0,3,0,deq
8398,5,0,3,4148,enq
8398,5,0,3,0,deq
8398,4,0,3,4148,enq
8398,4,0,3,0,deq
9024,7,1,3,4148,enq
9024,6,0,3,4148,enq
9024,7,1,3,0,deq
9024,6,0,3,0,deq
9061,5,0,3,4148,enq
9061,5,0,3,0,deq
9061,4,0,3,4148,enq
9061,4,0,3,0,deq
9687,7,1,3,4148,enq
9687,6,0,3,4148,enq
9687,7,1,3,0,deq
9687,6,0,3,0,deq
9724,5,0,3,4148,enq
9724,5,0,3,0,deq
9724,4,0,3,4148,enq
9724,4,0,3,0,deq
10133,5,3,3,60,enq
10133,5,3,3,0,deq
10133,4,2,3,60,enq
10133,4,2,3,0,deq
10387,5,0,3,4148,enq
10387,5,0,3,0,deq
10387,4,0,3,4148,enq
10387,4,0,3,0,deq
10842,7,0,3,60,enq
10842,7,0,3,0,deq
10842,6,1,3,60,enq
10842,6,1,3,0,deq
11050,5,0,3,4148,enq
11050,5,0,3,0,deq
11050,4,0,3,4148,enq
11050,4,0,3,0,deq
11551,4,0,3,60,enq
11551,4,0,3,0,deq
11551,5,0,3,60,enq
11551,5,0,3,0,deq
13286,4,3,3,4148,enq
13286,4,3,3,0,deq
13286,5,2,3,4148,enq
13286,5,2,3,0,deq
13617,4,3,3,4148,enq
13617,5,2,3,4148,enq
13948,4,3,3,8296,enq
13948,5,2,3,8296,enq
13949,4,3,3,4148,deq
13949,5,2,3,4148,deq
14279,4,3,3,8296,enq
14279,5,2,3,8296,enq
14610,4,3,3,12444,enq
14610,5,2,3,12444,enq
14612,4,3,3,8296,deq
14612,5,2,3,8296,deq
14649,7,1,3,4148,enq
14649,7,1,3,0,deq
14649,6,0,3,4148,enq
14649,6,0,3,0,deq
14941,4,3,3,12444,enq
14941,5,2,3,12444,enq
15272,4,3,3,16592,enq
15272,5,2,3,16592,enq
15275,4,3,3,12444,deq
15275,5,2,3,12444,deq
15312,7,1,3,4148,enq
15312,6,0,3,4148,enq
15312,7,1,3,0,deq
15312,6,0,3,0,deq
15603,4,3,3,16592,enq
15603,5,2,3,16592,enq
15938,4,3,3,12444,deq
15938,5,2,3,12444,deq
15975,7,1,3,4148,enq
15975,6,0,3,4148,enq
15975,7,1,3,0,deq
15975,6,0,3,0,deq
16012,5,0,3,4148,enq
16012,5,0,3,0,deq
16012,4,0,3,4148,enq
16012,4,0,3,0,deq
16601,4,3,3,8296,deq
16601,5,2,3,8296,deq
16638,7,1,3,4148,enq
16638,6,0,3,4148,enq
16638,7,1,3,0,deq
16638,6,0,3,0,deq
16675,5,0,3,4148,enq
16675,5,0,3,0,deq
16675,4,0,3,4148,enq
16675,4,0,3,0,deq
17264,4,3,3,4148,deq
17264,5,2,3,4148,deq
17301,7,1,3,4148,enq
17301,6,0,3,4148,enq
17301,7,1,3,0,deq
17301,6,0,3,0,deq
17338,5,0,3,4148,enq
17338,5,0,3,0,deq
17338,4,0,3,4148,enq
17338,4,0,3,0,deq
17927,4,3,3,0,deq
17927,5,2,3,0,deq
17964,7,1,3,4148,enq
17964,6,0,3,4148,enq
17964,7,1,3,0,deq
17964,6,0,3,0,deq
18001,5,0,3,4148,enq
18001,5,0,3,0,deq
18001,4,0,3,4148,enq
18001,4,0,3,0,deq
18627,7,1,3,4148,enq
18627,6,0,3,4148,enq
18627,7,1,3,0,deq
18627,6,0,3,0,deq
18664,5,0,3,4148,enq
18664,5,0,3,0,deq
18664,4,0,3,4148,enq
18664,4,0,3,0,deq
19290,7,1,3,4148,enq
19290,6,0,3,4148,enq
19290,7,1,3,0,deq
19290,6,0,3,0,deq
19327,5,0,3,4148,enq
19327,5,0,3,0,deq
19327,4,0,3,4148,enq
19327,4,0,3,0,deq
19736,5,3,3,60,enq
19736,5,3,3,0,deq
19736,4,2,3,60,enq
19736,4,2,3,0,deq
19990,5,0,3,4148,enq
19990,5,0,3,0,deq
19990,4,0,3,4148,enq
19990,4,0,3,0,deq
20445,7,0,3,60,enq
20445,7,0,3,0,deq
20445,6,1,3,60,enq
20445,6,1,3,0,deq
20653,5,0,3,4148,enq
20653,5,0,3,0,deq
20653,4,0,3,4148,enq
20653,4,0,3,0,deq
21154,4,0,3,60,enq
21154,4,0,3,0,deq
21154,5,0,3,60,enq
21154,5,0,3,0,deq
22889,4,3,3,4148,enq
22889,4,3,3,0,deq
22889,5,2,3,4148,enq
22889,5,2,3,0,deq
23220,4,3,3,4148,enq
23220,5,2,3,4148,enq
23551,4,3,3,8296,enq
23551,5,2,3,8296,enq
23552,4,3,3,4148,deq
23552,5,2,3,4148,deq
23882,4,3,3,8296,enq
23882,5,2,3,8296,enq
24213,4,3,3,12444,enq
24213,5,2,3,12444,enq
24215,4,3,3,8296,deq
24215,5,2,3,8296,deq
24252,7,1,3,4148,enq
24252,7,1,3,0,deq
24252,6,0,3,4148,enq
24252,6,0,3,0,deq
24544,4,3,3,12444,enq
24544,5,2,3,12444,enq
24875,4,3,3,16592,enq
24875,5,2,3,16592,enq
24878,4,3,3,12444,deq
24878,5,2,3,12444,deq
24915,7,1,3,4148,enq
24915,6,0,3,4148,enq
24915,7,1,3,0,deq
24915,6,0,3,0,deq
25206,4,3,3,16592,enq
25206,5,2,3,16592,enq
25541,4,3,3,12444,deq
25541,5,2,3,12444,deq
25578,7,1,3,4148,enq
25578,6,0,3,4148,enq
25578,7,1,3,0,deq
25578,6,0,3,0,deq
25615,5,0,3,4148,enq
25615,5,0,3,0,deq
25615,4,0,3,4148,enq
25615,4,0,3,0,deq
26204,4,3,3,8296,deq
26204,5,2,3,8296,deq
26241,7,1,3,4148,enq
26241,6,0,3,4148,enq
26241,7,1,3,0,deq
26241,6,0,3,0,deq
26278,5,0,3,4148,enq
26278,5,0,3,0,deq
26278,4,0,3,4148,enq
26278,4,0,3,0,deq
26867,4,3,3,4148,deq
26867,5,2,3,4148,deq
26904,7,1,3,4148,enq
26904,6,0,3,4148,enq
26904,7,1,3,0,deq
26904,6,0,3,0,deq
26941,5,0,3,4148,enq
26941,5,0,3,0,deq
26941,4,0,3,4148,enq
26941,4,0,3,0,deq
27530,4,3,3,0,deq
27530,5,2,3,0,deq
27567,7,1,3,4148,enq
27567,6,0,3,4148,enq
27567,7,1,3,0,deq
27567,6,0,3,0,deq
27604,5,0,3,4148,enq
27604,5,0,3,0,deq
27604,4,0,3,4148,enq
27604,4,0,3,0,deq
28230,7,1,3,4148,enq
28230,6,0,3,4148,enq
28230,7,1,3,0,deq
28230,6,0,3,0,deq
28267,5,0,3,4148,enq
28267,5,0,3,0,deq
28267,4,0,3,4148,enq
28267,4,0,3,0,deq
28893,7,1,3,4148,enq
28893,6,0,3,4148,enq
28893,7,1,3,0,deq
28893,6,0,3,0,deq
28930,5,0,3,4148,enq
28930,5,0,3,0,deq
28930,4,0,3,4148,enq
28930,4,0,3,0,deq
29339,5,3,3,60,enq
29339,5,3,3,0,deq
29339,4,2,3,60,enq
29339,4,2,3,0,deq
29593,5,0,3,4148,enq
29593,5,0,3,0,deq
29593,4,0,3,4148,enq
29593,4,0,3,0,deq
30048,7,0,3,60,enq
30048,7,0,3,0,deq
30048,6,1,3,60,enq
30048,6,1,3,0,deq
30256,5,0,3,4148,enq
30256,5,0,3,0,deq
30256,4,0,3,4148,enq
30256,4,0,3,0,deq
