pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,milp,8192,4788,3.42189,0,0,4148,3.51,331.84,0.0,,100,1,5.2
4096,baseline,8192,4144,3.95367,0,0,2100,4.11,168.0,0.0,,100,1,4.9
4096,all,8192,3976,4.12072,0,0,2104,4.33,168.32,100.0,,100,1,0.5
4096,flowId+nic,8192,3976,4.12072,0,0,2104,4.33,168.32,0.0,,100,1,0.5
4096,rate,8192,4144,3.95367,0,0,2100,4.11,168.0,100.0,,100,1,0.4
4096,noRate,8192,3976,4.12072,0,0,2104,4.33,168.32,0.0,,100,1,0.4
4096,noNetDeps,8192,3976,4.12072,0,0,2104,4.33,168.32,100.0,,100,1,0.4
16384,milp,32768,6777,9.67036,0,0,8296,9.8,331.84,0.0,,100,1,0.5
16384,baseline,32768,6777,9.67036,0,0,8296,9.83,331.84,0.0,,100,1,0.4
16384,all,32768,5788,11.3227,0,0,4152,11.54,332.16,100.0,,100,1,0.4
16384,flowId+nic,32768,5788,11.3227,0,0,4152,11.54,332.16,0.0,,100,1,0.5
16384,rate,32768,6777,9.67036,0,0,8296,9.83,331.84,100.0,,100,1,0.4
16384,noRate,32768,5788,11.3227,0,0,4152,11.54,332.16,0.0,,100,1,0.4
16384,noNetDeps,32768,5788,11.3227,0,0,4152,11.54,332.16,100.0,,100,1,0.4
65536,milp,131072,19032,13.7739,0,0,24888,13.92,331.84,0.0,,100,1,0.4
65536,baseline,131072,14733,17.793,0,0,33184,17.97,331.84,0.0,,100,1,0.4
65536,all,131072,9772,26.826,0,0,4152,27.16,332.16,100.0,,100,1,0.4
65536,flowId+nic,131072,9772,26.826,0,0,4152,27.16,332.16,0.0,,100,1,0.4
65536,rate,131072,14733,17.793,0,0,33184,17.97,331.84,100.0,,100,1,0.4
65536,noRate,131072,9772,26.826,0,0,4152,27.16,332.16,0.0,,100,1,0.5
65536,noNetDeps,131072,9772,26.826,0,0,4152,27.16,332.16,100.0,,100,1,0.4
262144,milp,524288,76650,13.6801,0,0,24888,13.87,331.84,0.0,,100,1,0.4
262144,baseline,524288,51486,20.3662,0,0,49776,20.66,336.64,0.0,,100,1,0.4
262144,all,524288,39100,26.8178,0,0,4152,27.23,332.16,100.0,,100,1,0.5
262144,flowId+nic,524288,39100,26.8178,0,0,4152,27.23,332.16,0.0,,100,1,0.4
262144,rate,524288,51486,20.3662,0,0,49776,20.66,336.64,100.0,,100,1,0.4
262144,noRate,524288,39100,26.8178,0,0,4152,27.23,332.16,0.0,,100,1,0.4
262144,noNetDeps,524288,39100,26.8178,0,0,4152,27.23,332.16,100.0,,100,1,0.4
1048576,milp,2097152,307122,13.6568,0,0,24888,13.84,132.74,0.0,,500,1,0.5
1048576,baseline,2097152,197470,21.2402,0,0,49776,21.55,133.7,0.0,,500,1,0.5
1048576,all,2097152,156412,26.8157,0,0,4152,27.22,132.86,100.0,,500,1,0.5
1048576,flowId+nic,2097152,156412,26.8157,0,0,4152,27.22,132.86,0.0,,500,1,0.5
1048576,rate,2097152,197142,21.2755,0,0,49776,21.55,133.7,100.0,,500,1,0.5
1048576,noRate,2097152,156412,26.8157,0,0,4152,27.22,132.86,0.0,,500,1,0.5
1048576,noNetDeps,2097152,156412,26.8157,0,0,4152,27.22,132.86,100.0,,500,1,0.5
4194304,milp,8388608,1229010,13.651,0,0,24888,13.84,116.14,0.0,,2000,1,0.6
4194304,baseline,8388608,780845,21.486,0,0,49776,21.77,116.38,0.0,,2000,1,0.6
4194304,all,8388608,625660,26.8152,0,0,4152,27.22,116.26,100.0,,2000,1,0.7
4194304,flowId+nic,8388608,625660,26.8152,0,0,4152,27.22,116.26,0.0,,2000,1,0.6
4194304,rate,8388608,782296,21.4461,0,0,49776,21.71,116.38,100.0,,2000,1,0.7
4194304,noRate,8388608,625660,26.8152,0,0,4152,27.22,116.26,0.0,,2000,1,0.6
4194304,noNetDeps,8388608,625660,26.8152,0,0,4152,27.22,116.26,100.0,,2000,1,0.7
16777216,milp,33554432,4916562,13.6496,0,0,24888,13.84,79.64,0.0,,5000,0,1.2
16777216,baseline,33554432,3113710,21.5527,0,0,49776,21.86,106.28,0.0,,5000,0,1.3
16777216,all,33554432,2502652,26.8151,0,0,4152,27.21,106.29,100.0,,5000,0,1.2
16777216,flowId+nic,33554432,2502652,26.8151,0,0,4152,27.21,106.29,0.0,,5000,0,1.3
16777216,rate,33554432,3121274,21.5005,0,0,49776,21.79,106.28,100.0,,5000,0,1.3
16777216,noRate,33554432,2502652,26.8151,0,0,4152,27.21,106.29,0.0,,5000,0,1.3
16777216,noNetDeps,33554432,2502652,26.8151,0,0,4152,27.21,106.29,100.0,,5000,0,1.2
67108864,milp,134217728,19666770,13.6492,0,0,24888,13.84,33.23,0.0,,20000,0,3.4
67108864,baseline,134217728,12445805,21.5683,0,0,49776,21.86,56.51,0.0,,20000,0,3.9
67108864,all,134217728,10010620,26.8151,0,0,4152,27.21,66.53,100.0,,20000,0,4.0
67108864,flowId+nic,134217728,10010620,26.8151,0,0,4152,27.21,66.53,0.0,,20000,0,3.4
67108864,rate,134217728,12478168,21.5124,0,0,49776,21.82,56.51,100.0,,20000,0,3.7
67108864,noRate,134217728,10010620,26.8151,0,0,4152,27.21,66.53,0.0,,20000,0,3.4
67108864,noNetDeps,134217728,10010620,26.8151,0,0,4152,27.21,66.53,100.0,,20000,0,3.6
268435456,milp,536870912,78667602,13.6491,0,0,24888,13.84,29.25,0.0,,100000,0,17.3
268435456,baseline,536870912,49773550,21.5725,0,0,49776,21.87,50.85,0.0,,100000,0,13.9
268435456,all,536870912,40042492,26.8151,0,0,4152,27.19,55.9,100.0,,100000,0,12.7
268435456,flowId+nic,536870912,40042492,26.8151,0,0,4152,27.19,55.9,0.0,,100000,0,12.5
268435456,rate,536870912,49904762,21.5158,0,0,49776,21.79,50.52,100.0,,100000,0,14.1
