pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,milp,16384,16997,3.85574,0,0,4148,,,0.0,,100,1,3.4
4096,baseline,16384,7127,9.19545,0,0,6300,,,0.0,,100,1,0.8
4096,all,16384,20178,3.24789,0,0,4152,,,100.0,,100,1,0.8
4096,flowId+nic,16384,6962,9.41339,0,0,4208,,,0.0,,100,1,0.8
4096,rate,16384,7127,9.19545,0,0,6300,,,100.0,,100,1,0.7
4096,noRate,16384,20178,3.24789,0,0,4152,,,0.0,,100,1,0.7
4096,noNetDeps,16384,6962,9.41339,0,0,4208,,,100.0,,100,1,0.7
16384,milp,65536,23215,11.292,0,0,12444,,,0.0,,100,1,0.7
16384,baseline,65536,11821,22.1761,0,0,16592,,,0.0,,100,1,0.7
16384,all,65536,24414,10.7374,0,0,4272,,,100.0,,100,1,0.8
16384,flowId+nic,65536,10840,24.183,0,0,8304,,,0.0,,100,1,0.8
16384,rate,65536,11821,22.1761,0,0,16592,,,100.0,,100,1,0.7
16384,noRate,65536,24409,10.7396,0,0,4212,,,0.0,,100,1,0.7
16384,noNetDeps,65536,10840,24.183,0,0,8304,,,100.0,,100,1,0.7
65536,milp,262144,54839,19.121,0,0,66368,,,0.0,,100,1,0.8
65536,baseline,262144,27733,37.8097,0,0,49776,,,0.0,,100,1,0.8
65536,all,262144,42151,24.8767,0,0,16608,,,100.0,,100,1,0.7
65536,flowId+nic,262144,26380,39.7489,0,0,62280,,,0.0,,100,1,0.7
65536,rate,262144,27733,37.8097,0,0,49776,,,100.0,,100,1,0.7
65536,noRate,262144,42750,24.5281,0,0,16668,,,0.0,,100,1,0.8
65536,noNetDeps,262144,26380,39.7489,0,0,62280,,,100.0,,100,1,0.8
262144,milp,1048576,201948,20.7692,0,0,70576,,,0.0,,200,1,0.8
262144,baseline,1048576,96096,43.647,0,0,99612,,,0.0,,200,1,0.8
262144,all,1048576,132868,31.5675,0,0,45732,,,100.0,,200,1,0.8
262144,flowId+nic,1048576,95229,44.0444,0,0,103920,,,0.0,,200,1,0.8
262144,rate,1048576,95759,43.8006,0,0,99552,,,100.0,,200,1,0.8
262144,noRate,1048576,134412,31.2048,0,0,45672,,,0.0,,200,1,0.8
