pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,24576,15137,9.74143,0,0,13832,,,0.0,,100,1,11.1
4096,all,24576,50512,2.91923,0,0,4152,,,100.0,,100,1,0.8
4096,flowId+nic,24576,14969,9.85076,0,0,8584,,,0.0,,100,1,0.7
4096,rate,24576,15307,9.63324,0,0,13832,,,100.0,,100,1,0.7
4096,noRate,24576,51662,2.85424,0,0,4152,,,0.0,,100,1,0.8
4096,noNetDeps,24576,15140,9.7395,0,0,8584,,,100.0,,100,1,0.7
16384,baseline,98304,31629,18.6482,0,0,58072,,,0.0,,100,1,0.8
16384,all,98304,63342,9.31174,0,0,12456,,,100.0,,100,1,0.7
16384,flowId+nic,98304,25497,23.1331,0,0,33216,,,0.0,,100,1,0.7
16384,rate,98304,31638,18.6429,0,0,58072,,,100.0,,100,1,0.7
16384,noRate,98304,66908,8.81545,0,0,16668,,,0.0,,100,1,0.7
16384,noNetDeps,98304,26160,22.5468,0,0,33216,,,100.0,,100,1,0.7
65536,baseline,393216,91326,25.8338,0,0,232348,,,0.0,,100,1,0.8
65536,all,393216,108878,21.6692,0,0,54036,,,100.0,,100,1,0.8
65536,flowId+nic,393216,62580,37.7005,0,0,95496,,,0.0,,100,1,0.8
65536,rate,393216,93333,25.2783,0,0,219904,,,100.0,,100,1,0.8
65536,noRate,393216,105006,22.4682,0,0,54036,,,0.0,,100,1,0.8
65536,noNetDeps,393216,65264,36.15,0,0,91344,,,100.0,,100,1,0.8
262144,baseline,1572864,340857,27.6866,0,0,556432,,,0.0,,200,1,1.0
262144,all,1572864,284566,33.1634,0,0,199296,,,100.0,,200,1,1.0
262144,flowId+nic,1572864,234238,40.2889,0,0,191112,,,0.0,,200,1,1.0
262144,rate,1572864,340884,27.6844,0,0,556312,,,100.0,,200,1,1.0
262144,noRate,1572864,292837,32.2267,0,0,145380,,,0.0,,200,1,1.0
262144,noNetDeps,1572864,230984,40.8564,0,0,182928,,,100.0,,200,1,1.0
1048576,baseline,6291456,1293503,29.1833,0,0,751388,,,0.0,,1000,1,1.6
1048576,all,6291456,1056061,35.7448,0,0,290880,,,100.0,,1000,1,1.7
1048576,flowId+nic,6291456,915572,41.2297,0,0,286668,,,0.0,,1000,1,1.7
1048576,rate,6291456,1309254,28.8322,0,0,739064,,,100.0,,1000,1,1.7
1048576,noRate,6291456,1109083,34.036,0,0,261816,,,0.0,,1000,1,1.7
1048576,noNetDeps,6291456,911671,41.4061,0,0,307488,,,100.0,,1000,1,1.8
4194304,baseline,25165824,5177787,29.1621,0,0,788960,,,0.0,,5000,0,4.2
4194304,all,25165824,4180943,36.115,0,0,319884,,,100.0,,5000,0,4.4
4194304,flowId+nic,25165824,3627002,41.6308,0,0,353700,,,0.0,,5000,0,4.4
4194304,rate,25165824,5168697,29.2133,0,0,776696,,,100.0,,5000,0,4.4
4194304,noRate,25165824,4383955,34.4426,0,0,324096,,,0.0,,5000,0,4.3
4194304,noNetDeps,25165824,3627850,41.6211,0,0,357192,,,100.0,,5000,0,4.4
16777216,baseline,100663296,19212387,31.437,0,0,726980,,,0.0,,20000,0,14.9
16777216,all,100663296,16807558,35.935,0,0,332400,,,100.0,,20000,0,16.0
16777216,flowId+nic,100663296,14019339,43.0819,0,0,457560,,,0.0,,20000,0,15.3
16777216,rate,100663296,19224560,31.4171,0,0,718684,,,100.0,,20000,0,15.5
16777216,noRate,100663296,16898316,35.742,0,0,340644,,,0.0,,20000,0,16.1
16777216,noNetDeps,100663296,14011021,43.1075,0,0,445224,,,100.0,,20000,0,16.3
67108864,baseline,402653184,74309067,32.5118,0,0,793408,,,0.0,,50000,0,57.2
67108864,all,402653184,65302096,36.996,0,0,494748,,,100.0,,50000,0,60.7
67108864,flowId+nic,402653184,53271310,45.3512,0,0,457380,,,0.0,,50000,0,60.8
67108864,rate,402653184,74136584,32.5874,0,0,789140,,,100.0,,50000,0,59.9
67108864,noRate,402653184,65783893,36.7251,0,0,511176,,,0.0,,50000,0,58.5
67108864,noNetDeps,402653184,53363950,45.2725,0,0,440472,,,100.0,,50000,0,62.8
268435456,baseline,1610612736,296491256,32.5935,0,0,793468,,,0.0,,200000,0,235.6
268435456,all,1610612736,258231510,37.4225,0,0,507204,,,100.0,,200000,0,249.3
268435456,flowId+nic,1610612736,210987013,45.8022,0,0,457440,,,0.0,,200000,0,238.7
268435456,rate,1610612736,296719386,32.5684,0,0,785172,,,100.0,,200000,0,236.4
268435456,noRate,1610612736,257883455,37.473,0,0,511116,,,0.0,,200000,0,235.4
268435456,noNetDeps,1610612736,211745627,45.6381,0,0,449196,,,100.0,,200000,0,247.9
1073741824,baseline,6442450944,1184725942,32.6276,0,0,793468,,,0.0,,1000000,0,898.0
1073741824,all,6442450944,1035017152,37.3469,0,0,519420,,,100.0,,1000000,0,970.1
1073741824,flowId+nic,6442450944,843048209,45.8511,0,0,457560,,,0.0,,1000000,0,1034.1
1073741824,rate,6442450944,1186168212,32.5879,0,0,789260,,,100.0,,1000000,0,961.5
1073741824,noRate,6442450944,1034915065,37.3506,0,0,519480,,,0.0,,1000000,0,968.1
1073741824,noNetDeps,6442450944,845583715,45.7136,0,0,449316,,,100.0,,1000000,0,982.3
4294967296,baseline,25769803776,4732609628,32.6709,0,0,793468,,,0.0,,5000000,0,3704.0
4294967296,all,25769803776,4139714350,37.3501,0,0,544392,,,100.0,,5000000,0,3950.5
