pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,393216,8000,4718.59,0,0,43412,382.18,561.6,0.0,,100,1,17.8
4096,rate,393216,8000,4718.59,0,0,43412,382.18,561.6,18.4,100.0,100,1,16.0
4096,netDeps,393216,7400,5101.18,0,0,32444,382.18,574.08,0.0,,100,1,17.0
4096,nicSel,393216,8000,4718.59,0,0,64440,379.28,676.16,0.0,,100,1,14.7
4096,flowId+nic,393216,8000,4718.59,0,0,66752,380.3,677.76,0.0,,100,1,15.9
4096,noRate,393216,7300,5171.06,0,0,29848,380.3,677.76,0.0,,100,1,15.1
4096,all,393216,7300,5171.06,0,0,29848,370.29,677.76,3.6,100.0,100,1,14.7
8192,baseline,786432,12500,6039.8,0,0,95540,379.28,676.16,0.0,,100,1,16.7
8192,rate,786432,12500,6039.8,0,0,95540,379.28,676.16,18.2,100.0,100,1,17.5
8192,netDeps,786432,11400,6622.59,0,0,66800,379.28,676.16,0.0,,100,1,16.8
8192,nicSel,786432,12700,5944.68,0,0,126904,378.09,667.84,0.0,,100,1,14.9
8192,flowId+nic,786432,12700,5944.68,0,0,131320,373.51,668.8,0.0,,100,1,15.0
8192,noRate,786432,11300,6681.19,0,0,64944,373.51,668.8,0.0,,100,1,16.3
8192,all,786432,11300,6681.19,0,0,64944,373.51,668.8,3.6,95.3,100,1,15.9
16384,baseline,1572864,21500,7023.02,58,58,208960,378.09,667.84,0.0,,100,1,17.4
16384,rate,1572864,21500,7023.02,58,58,208960,378.09,667.84,21.9,95.3,100,1,16.7
16384,netDeps,1572864,19200,7864.32,0,0,123068,378.09,667.84,0.0,,100,1,17.9
16384,nicSel,1572864,20900,7224.64,0,0,203252,381.0,663.68,0.0,,100,1,14.8
16384,flowId+nic,1572864,20900,7224.64,0,0,215904,376.14,664.32,0.0,,100,1,15.0
16384,noRate,1572864,18800,8031.65,0,0,99648,376.14,664.32,0.0,,100,1,15.8
16384,all,1572864,18800,8031.65,0,0,99648,376.14,664.32,15.5,67.5,100,1,16.8
32768,baseline,3145728,38400,7864.32,272,272,298656,339.72,663.68,0.0,,100,1,18.1
32768,rate,3145728,38400,7864.32,272,272,298656,339.72,663.68,33.7,67.5,100,1,17.8
32768,netDeps,3145728,34200,8830.11,0,0,178364,381.0,663.68,0.0,,100,1,18.3
32768,nicSel,3145728,35400,8530.79,50,50,253028,359.77,663.68,0.0,,100,1,18.8
32768,flowId+nic,3145728,35700,8459.1,91,91,265728,358.94,664.32,0.0,,100,1,18.3
32768,noRate,3145728,33500,9014.62,0,0,103800,376.14,664.32,0.0,,100,1,18.7
32768,all,3145728,33500,9014.62,0,0,103800,376.14,664.32,35.2,0.0,100,1,19.8
65536,baseline,6291456,68200,8856.01,681,681,510204,351.69,497.76,0.0,,200,1,23.9
65536,rate,6291456,68200,8856.01,681,681,510204,351.69,497.76,49.5,0.0,200,1,24.0
65536,netDeps,6291456,64800,9320.68,129,129,356728,359.77,497.76,0.0,,200,1,25.4
65536,nicSel,6291456,66000,9151.21,585,585,472872,365.76,497.76,0.0,,200,1,24.0
65536,flowId+nic,6291456,66000,9151.21,768,768,344616,354.3,498.24,0.0,,200,1,24.9
65536,noRate,6291456,63000,9586.98,0,0,116256,376.14,498.24,0.0,,200,1,25.8
65536,all,6291456,62800,9617.51,0,0,112104,376.14,498.24,44.4,0.0,200,1,25.7
131072,baseline,12582912,130000,9292.0,1671,1671,999668,358.3,464.58,0.0,,500,1,36.4
131072,rate,12582912,130000,9292.0,1667,1667,999668,358.3,464.58,57.4,0.0,500,1,37.1
131072,netDeps,12582912,126500,9549.09,945,945,659532,356.84,464.58,0.0,,500,1,38.1
131072,nicSel,12582912,133000,9082.4,1910,1910,1186328,368.84,464.58,0.0,,500,1,37.0
131072,flowId+nic,12582912,129500,9327.87,1994,1994,647712,352.88,465.02,0.0,,500,1,37.8
131072,noRate,12582912,122000,9901.31,0,0,153624,375.5,465.02,0.0,,500,1,37.6
131072,all,12582912,121500,9942.05,0,0,128712,375.5,465.02,49.1,0.0,500,1,37.3
