pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,16384,5483,11.9526,0,0,6300,111.54,331.84,0.0,,100,1,6.1
4096,flowId+nic,16384,5484,11.9504,0,0,6312,111.72,332.16,0.0,,100,1,0.5
4096,all,16384,5316,12.3281,0,0,6312,111.72,332.16,100.0,,100,1,0.5
16384,baseline,65536,11086,23.6464,0,0,24888,107.62,331.84,0.0,,100,1,0.5
16384,flowId+nic,65536,10436,25.1192,0,0,20760,107.73,332.16,0.0,,100,1,0.5
16384,all,65536,10104,25.9446,0,0,16608,90.59,332.16,100.0,,100,1,0.4
65536,baseline,262144,30976,33.8512,0,0,87108,102.1,331.84,0.0,,100,1,0.4
65536,flowId+nic,262144,26372,39.761,0,0,58128,101.55,332.16,0.0,,100,1,0.5
65536,all,262144,26040,40.2679,0,0,16608,78.54,332.16,100.0,,100,1,0.4
262144,baseline,1048576,110536,37.9451,0,0,335988,100.49,165.92,0.0,,200,1,0.5
262144,flowId+nic,1048576,90116,46.5434,0,0,207600,100.27,166.08,0.0,,200,1,0.5
262144,all,1048576,89784,46.7155,0,0,16608,75.92,166.08,100.0,,200,1,0.5
1048576,baseline,4194304,428776,39.1282,0,0,1331508,100.34,132.74,0.0,,1000,1,0.7
1048576,flowId+nic,4194304,345092,48.6166,0,0,805488,100.04,132.86,0.0,,1000,1,0.7
1048576,all,4194304,344760,48.6635,0,0,16608,75.25,132.86,100.0,,1000,1,0.7
4194304,baseline,16777216,1701736,39.4355,531,531,3936452,70.3,106.19,0.0,,5000,1,1.5
4194304,flowId+nic,16777216,1367063,49.0898,346,346,2100912,85.03,106.29,0.0,,5000,1,1.5
4194304,all,16777216,1364664,49.1761,0,0,16608,75.03,106.29,100.0,,5000,1,1.4
16777216,baseline,67108864,7203412,37.265,4920,4920,4193628,57.68,102.87,0.0,,10000,0,4.8
16777216,flowId+nic,67108864,5957319,45.0598,2860,2860,2105064,70.37,102.97,0.0,,10000,0,4.8
16777216,all,67108864,5612629,47.827,2019,2019,2100912,72.63,102.97,100.0,,10000,0,4.7
67108864,baseline,268435456,29604434,36.2696,23007,23007,4193628,55.01,100.88,0.0,,50000,0,18.2
67108864,flowId+nic,268435456,24315842,44.1581,9353,9353,2109216,67.6,100.31,0.0,,50000,0,17.4
67108864,all,268435456,25912682,41.4369,8866,8866,2105064,62.91,100.31,100.0,,50000,0,17.9
268435456,baseline,1073741824,119208862,36.0289,93340,93340,4193628,54.73,100.38,0.0,,200000,0,70.1
268435456,flowId+nic,1073741824,97748159,43.9391,34307,34307,2105064,66.91,100.15,0.0,,200000,0,70.9
268435456,all,1073741824,107475011,39.9625,36211,36211,2113368,60.69,100.15,100.0,,200000,0,69.9
