pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,32768,11309,23.1801,0,0,16356,,,0.0,,100,1,5.4
4096,rate,32768,11336,23.1249,0,0,10716,,,100.0,,100,1,0.8
4096,flowId+nic,32768,10729,24.4332,0,0,11928,,,0.0,,100,1,0.9
4096,noRate,32768,50199,5.2221,0,0,9656,,,0.0,,100,1,0.8
4096,noNetDeps,32768,10792,24.2906,0,0,6816,,,100.0,,100,1,0.9
4096,all,32768,50087,5.23377,0,0,8580,,,100.0,,100,1,0.8
16384,baseline,131072,30744,34.1067,0,0,61440,,,0.0,,100,1,0.9
16384,rate,131072,31041,33.7804,0,0,43140,,,100.0,,100,1,0.8
16384,flowId+nic,131072,28770,36.4469,0,0,47488,,,0.0,,100,1,0.8
16384,noRate,131072,65437,16.0242,0,0,44604,,,0.0,,100,1,0.8
16384,noNetDeps,131072,29067,36.0744,0,0,26028,,,100.0,,100,1,0.9
16384,all,131072,64014,16.3804,0,0,23504,,,100.0,,100,1,0.9
65536,baseline,524288,107016,39.1932,0,0,249180,,,0.0,,100,1,0.9
65536,rate,524288,107376,39.0618,0,0,158464,,,100.0,,100,1,0.9
65536,flowId+nic,524288,93751,44.7388,0,0,158136,,,0.0,,100,1,0.9
65536,noRate,524288,140620,29.8272,0,0,154704,,,0.0,,100,1,0.9
65536,noNetDeps,524288,94129,44.5591,0,0,75516,,,100.0,,100,1,0.9
65536,all,524288,136970,30.6221,0,0,66912,,,100.0,,100,1,1.0
262144,baseline,2097152,410401,40.8801,0,0,398688,,,0.0,,500,1,1.2
262144,rate,2097152,409704,40.9496,0,0,489884,,,100.0,,500,1,1.3
262144,flowId+nic,2097152,424892,39.4858,0,0,378072,,,0.0,,500,1,1.3
262144,noRate,2097152,398579,42.0926,0,0,315792,,,0.0,,500,1,1.2
262144,noNetDeps,2097152,375518,44.6775,0,0,237084,,,100.0,,500,1,1.3
