pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,1048576,34237,7840.51,0,0,124560,,,,,0,1,51.2
4096,flowId+nic,1048576,34517,7776.91,0,0,128772,,,,,0,1,31.9
4096,noRate,1048576,34200,7848.99,0,0,75876,,,,,0,1,33.2
4096,all,1048576,34593,7759.82,0,0,54516,,,,,0,1,32.6
4096,baseline,1048576,34237,7840.51,0,0,124560,,,,,0,1,45.4
4096,flowId+nic,1048576,34517,7776.91,0,0,128772,,,,,0,1,32.0
4096,noRate,1048576,34200,7848.99,0,0,75876,,,,,0,1,33.3
4096,all,1048576,34593,7759.82,0,0,54516,,,,,0,1,33.1
65536,baseline,16777216,341307,12583.9,0,0,128648,,,,,0,1,104.4
65536,flowId+nic,16777216,345398,12434.8,0,0,128772,,,,,0,1,108.1
65536,noRate,16777216,373982,11484.4,1237,1237,898152,,,,,0,1,121.3
65536,all,16777216,344165,12479.4,0,0,62280,,,,,0,1,110.6
1048576,baseline,268435456,5330311,12892.2,0,0,128648,,,,,0,0,1340.8
1048576,flowId+nic,268435456,5393908,12740.2,0,0,128772,,,,,0,0,1345.8
1048576,noRate,268435456,6931029,9914.76,280258,280258,1496640,,,,,0,0,1685.3
1048576,all,268435456,5314612,12930.3,0,0,91344,,,,,0,0,1434.9
16777216,baseline,4294967296,83651047,13144.0,0,0,128648,,,,,0,0,20866.6
