pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
65536,baseline,16777216,213000,20164.2,32094,32094,684420,314.26,464.58,,,500,1,114.4
65536,noRate,16777216,227500,18879.0,29231,29231,880224,294.2,465.02,,,500,1,104.7
65536,all,16777216,174000,24683.7,1383,1383,124560,386.51,465.02,,,500,1,95.2
131072,baseline,33554432,431000,19930.2,70172,70172,937448,308.37,431.39,,,1000,0,177.4
131072,noRate,33554432,473000,18160.5,63976,63976,934200,281.03,431.81,,,1000,0,183.7
131072,all,33554432,339000,25339.0,1784,1784,124560,392.27,431.81,,,1000,0,162.8
262144,baseline,67108864,870000,19747.0,148330,148330,1219512,305.51,414.8,,,2000,0,329.8
262144,noRate,67108864,960000,17895.7,137834,137834,925896,275.73,415.2,,,2000,0,349.1
262144,all,67108864,674000,25489.4,3042,3042,116256,394.61,415.2,,,2000,0,314.0
1048576,baseline,268435456,3510000,19578.2,638586,638586,1700680,303.57,404.84,,,10000,0,1256.9
1048576,all,268435456,2690000,25546.3,7631,7631,112104,397.89,401.91,,,10000,0,1168.8
4194304,baseline,1073741824,14050000,19564.3,2598012,2598012,1733864,302.05,404.84,,,50000,0,4994.1
4194304,all,1073741824,13800000,19918.7,1281453,1281453,1515480,305.63,400.58,,,50000,0,5135.7
