pair_bytes,config,input_bytes,sim_time_ns,algbw_gbps,pause,resume,max_qlen_bytes,nic_mean_gbps,nic_peak_gbps,paced_pct,unshapeable_pct,nic_interval_ns,qlen_rows,wall_s
4096,baseline,1048576,26963,9955.7,587,587,128100,,,,,0,1,58.9
4096,flowId+nic,1048576,26650,10072.6,986,986,141948,,,,,0,1,33.7
4096,noRate,1048576,23876,11242.9,0,0,100188,,,,,0,1,33.4
4096,all,1048576,24285,11053.5,0,0,83640,,,,,0,1,33.6
65536,baseline,16777216,221454,19394.4,31342,31342,684420,,,,,0,1,128.7
65536,flowId+nic,16777216,223467,19219.7,32361,32361,794112,,,,,0,1,130.5
65536,noRate,16777216,226328,18976.7,27727,27727,843456,,,,,0,1,130.0
65536,all,16777216,178477,24064.5,0,0,112224,,,,,0,1,120.3
1048576,baseline,268435456,3523405,19503.7,634031,634031,1736504,,,,,0,0,1659.8
1048576,flowId+nic,268435456,3601516,19080.7,608966,608966,1888728,,,,,0,0,1706.0
1048576,noRate,268435456,3903673,17603.8,639463,639463,1043172,,,,,0,0,1704.3
1048576,all,268435456,2814957,24412.3,17170,17170,528204,,,,,0,0,1606.5
